subject,topic,question,A,B,C,D,answer,explanation
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sự chi phối của thần kinh giao cảm tới vùng cổ xuất phát từ:,D2,D3-D6,D7-D11,D12-L2,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: D2; Nơi chi phối: Vùng cổ. Vì vậy đáp án A (D2) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Khái niệm phản xạ có điều kiện, NGOẠI TRỪ:",Phản xạ là phản ứng của cơ thể đối với những kích thích của môi trường bên ngoài cũng như bên trong cơ thể,Pavlov phân biệt 2 loại phản xạ: phản xạ không điều kiện (PXKĐK) và phản xạ có điều kiện (PXCĐK),PXKĐK có một cung phản xạ vĩnh viễn,Quá trình sống và học tập đã tạo ra vô số các PXKĐK để giúp cơ thể thích nghi và tồn tại một cách linh hoạt,D,"Theo book_19_SinhLyTKCaoCap_raw.docx, Trong cơ thể chúng ta có rất nhiều loại PXKĐK, nhưng chưa đủ để đáp ứng với các thay đổi đa dạng phức tạp khác nhau của môi trường sống..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Quá trình sống và học tập đã tạo ra vô số các PXKĐK để giúp cơ thể thích nghi và tồn tại một cách linh hoạt) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sợi truyền cảm giác nhiệt và đau “nhanh” thuộc loại sợi:,Aα,Aβ,Aγ,Aδ,D,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: Aδ; Chức năng: Sợi truyền cảm giác nhiệt và đau ""nhanh"" (da); Đường kính (um): 3; Tốc độ dẫn truyền (m/s): 12-30. Vì vậy đáp án D (Aδ) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Chặng dẫn truyền hướng tâm cảm giác nhiệt từ ngoại biên về đồi thị có đặc điểm, NGOẠI TRỪ:","Dẫn truyền theo 02 loại sợi: A delta dẫn truyền cảm giác nhiệt nóng, C dẫn truyền cảm giác nhiệt lạnh",Có 3 nơron tham gia,Từ tủy sống đi theo bó gai thị trước đến tận cùng ở chất lưới thân não và phức hợp bụng nền ở đồi thị,"Vị trí bắt chéo tại nơron thứ 2, thân nằm sừng sau tủy sống, sợi trục bắt chéo sang bên đối diện",A,"Theo DeCuong2025_SinhLyThanKinh.docx, Vỏ não cảm giác nhiệt nằm ở thùy đỉnh, tại đây có những nơron nhận cảm đặc hiệu với nóng, lạnh cho từng vùng riêng của cơ thể.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Dẫn truyền theo 02 loại sợi: A delta dẫn truyền cảm giác nhiệt nóng, C dẫn truyền cảm giác nhiệt lạnh) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của đường dẫn truyền hướng tâm cảm giác đau:,Trung tâm nhận cảm cảm giác đau ở thùy đỉnh của vỏ não,Có 2 nơron tham gia dẫn truyền,"Xung động được dẫn truyền theo bó gai lưới tận cùng ở cấu tạo lưới thuộc hành não, cầu não, não giữa cả hai bên",Dẫn truyền theo bó gai thị sau,C,"Theo DeCuong2025_SinhLyThanKinh.docx, Ngoài ra: xung động còn được dẫn truyền theo bó gai lưới tận cùng ở cấu tạo lưới thuộc hành não, cầu não, não giữa cả hai bên; các bó gai-cổ-đồi thị từ tủy cùng bên. Vì vậy đáp án C (Xung động được dẫn truyền theo bó gai lưới tận cùng ở cấu tạo lưới thuộc hành não, cầu não, não giữa cả hai bên) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sợi tiền hạch giao cảm thuộc loại sợi:,B,Aα,Aβ,C,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: B; Chức năng: Sợi tiền hạch giao cảm; Đường kính (um): 3; Tốc độ dẫn truyền (m/s): 3-15. Vì vậy đáp án A (B) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sự dẫn truyền trên dây thần kinh giúp thông tin được đảm bảo dẫn truyền chính xác đến đích nhờ đặc điểm:,Sự dẫn truyền xung động xảy ra trên từng sợi không lan tỏa sang các sợi khác,Quy luật hoạt động “tất cả hoặc không có gì”,Quy luật tương quan giữa cường độ kích thích và cường độ đáp ứng,Sự dẫn truyền hai chiều trên sợi trục,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Dây thần kinh ở ngoại biên cũng như các đường dẫn truyền trong hệ thần kinh trung ương không phải là một sợi trục mà là một bó gồm nhiều sợi trục có và không có myelin..... Vì vậy đáp án A (Sự dẫn truyền xung động xảy ra trên từng sợi không lan tỏa sang các sợi khác) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tác động của hệ thần kinh giao cảm NGOẠI TRỪ:,Co cơ trơn phế quản,Tăng nhịp tim,Tăng huyết áp,Dãn đồng tử,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Cơ quan đáp ứng: Phổi:; - Cơ phế quản; - Tuyến phế quản; Xung động adrenergic: β2; Xung động adrenergic: - Giãn (+); - Ức chế; Xung động cholinergic: - Co (++); - Kích thích (+++). Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Co cơ trơn phế quản) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Synap là:,Vừa là đơn vị cấu trúc vừa là đơn vị chức năng của hệ thần kinh,Là “khớp” giữa noron này với một noron khác hoặc với tế bào đáp ứng,Vị trí chuyển tiếp từ thân tế bào thần kinh thành sợi trục,"Là những tua bào tương ngắn, phân nhánh",B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Synap là ""khớp"" giữa nơron này với một nơron khác hoặc với tế bào đáp ứng (tế bào cơ). Một số rất ít là synap điện còn lại đa phần là synap hóa học với 3 phần:. Vì vậy đáp án B (Là “khớp” giữa noron này với một noron khác hoặc với tế bào đáp ứng) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Enzyme tổng hợp Acetylcholin:,Cholinesterase,Acetylcholintransferase,Amylase,Catechol - O - Methyltranferase,B,"Theo DeCuong2025_SinhLyThanKinh.docx, Acetylcholin transferase. Vì vậy đáp án B (Acetylcholintransferase) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các loại thụ thể xúc giác, NGOẠI TRỪ:",Tiểu thể Ruffini,Tiểu thể Pacini,Tiểu thể Meissner,Đĩa Merkel,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, + Thụ thể nhận cảm nóng (tiểu thể Ruffini): là các tiểu thể có vỏ bọc, bên trong có các sợi có myelin. Ngừng hoạt động khi nhiệt độ thấp hơn 20-25°C, hoạt động mạnh ở 38-43°C và giới hạn cao nhất là 45-47°C.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Tiểu thể Ruffini) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm trong dẫn truyền cảm giác xúc giác:,Có 3 chặng dẫn truyền,Bó gai thị trước bắt chéo ở nhân thon và nhân chêm của hành não,Bó gai thị sau bắt chéo ở tủy sống,Có 2 noron tham gia dẫn truyền,A,"Theo DeCuong2025_SinhLyThanKinh.docx, * Chặng thứ nhất: dẫn truyền từ thụ thể vào tủy sống. Vì vậy đáp án A (Có 3 chặng dẫn truyền) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của tế bào Schwann là:,"Tham gia vào quá trình trao đổi chất, cung cấp một số chất dinh dưỡng...",Tổng hợp myelin trong hệ thần kinh trung ương,Tổng hợp myelin trong hệ thần kinh ngoại biên,Xuất hiện nhiều sau chấn thương thần kinh,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tế bào Schwann: tổng hợp myelin trong hệ thần kinh ngoại biên.. Vì vậy đáp án C (Tổng hợp myelin trong hệ thần kinh ngoại biên) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm cảm giác đau, NGOẠI TRỪ:",Vỏ não đánh giá đau về chất,Thụ thể cảm giác đau là đầu dây tự do của dây thần kinh,Loại sợi Aδ có myelin dẫn truyền nhanh cảm giác đau cấp,Thụ thể đau có tính thích nghi cao,D,"Theo DeCuong2025_SinhLyThanKinh.docx, Thụ thể đau không có tính thích nghi.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Thụ thể đau có tính thích nghi cao) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sắp xếp theo thứ tự tốc độ dẫn truyền giảm dần trên các loại sợi trục:,A alpha - A beta - A gamma - A delta,A alpha - A delta - A beta - A gamma,A alpha - A gamma - A beta - A delta,A alpha - A beta - A delta - A gamma,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tốc độ dẫn truyền tỷ lệ thuận với đường kính sợi trục.. Vì vậy đáp án A (A alpha - A beta - A gamma - A delta) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Hạch tai thuộc dây thần kinh:,III,VII,IX,X,C,"Theo book_17_SinhLyTKVanDong_raw.docx, + Hạch tai: thuộc dây thần kinh IX.. Vì vậy đáp án C (IX) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Xung động adrenergic làm:,Giãn cơ thể mi,Giảm tần số tim,Hoạt động tâm thần giảm,Giãn mạch ở da niêm,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Cơ quan đáp ứng: Mắt:; - Cơ giãn đồng tử; - Cơ co đồng từ; - Cơ thể mi; Xung động adrenergic: α; ; β; Xung động adrenergic: - Co (++); ; - Giãn; Xung động cholinergic: - Co (+++); - Co. Vì vậy đáp án A (Giãn cơ thể mi) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sợi trục có đường kính nhỏ nhất:,A alpha,A beta,B,C,D,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: C; Chức năng: Sợi truyền cảm giác đau ""chậm"", sợi hậu hạch giao cảm; Đường kính (um): 1 (không myelin); Tốc độ dẫn truyền (m/s): 0,5-2. Vì vậy đáp án D (C) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Phản xạ có điều kiện có những tính chất sau, NGOẠI TRỪ:",Tập luyện,Chủng loài,Tạm thời,Không di truyền,B,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất chủng loài. Ví dụ: nhím gặp nguy hiểm dựng lông, cuộn tròn; Phản xạ có điều kiện: Có tính chất cá thể. Ví dụ: xiếc, đặt tên cho chó.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án B (Chủng loài) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Enzyme phân hủy Achetylcholin:,Cholinesterase,Acetylcholintransferase,Amylase,Catechol - O - Methyltranferase,A,"Theo DeCuong2025_SinhLyThanKinh.docx, Cholinesterase. Vì vậy đáp án A (Cholinesterase) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sự chi phối của thần kinh giao cảm tới vùng ngực xuất phát từ:,D2,D3-D6,D7-D11,D12-L2,B,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: D3-D6; Nơi chi phối: Vùng ngực. Vì vậy đáp án B (D3-D6) là phù hợp với nội dung bài."
